================ Training Loss (Wed Nov 26 13:10:48 2025) ================
[Rank 0] (epoch: 2, iters: 600, time: 0.010, data: 0.023) , G_GAN: 1.207, G_L1: 7.202, D_real: 0.411, D_fake: 0.575

[Rank 0] (epoch: 2, iters: 700, time: 0.010, data: 0.022) , G_GAN: 1.023, G_L1: 7.193, D_real: 0.575, D_fake: 0.589

[Rank 0] (epoch: 2, iters: 800, time: 0.010, data: 0.024) , G_GAN: 1.163, G_L1: 7.602, D_real: 0.455, D_fake: 0.717

[Rank 0] (epoch: 2, iters: 900, time: 0.010, data: 0.024) , G_GAN: 0.947, G_L1: 7.300, D_real: 0.707, D_fake: 0.487

[Rank 0] (epoch: 2, iters: 1000, time: 0.010, data: 0.023) , G_GAN: 0.903, G_L1: 7.227, D_real: 0.569, D_fake: 0.514

[Rank 0] (epoch: 2, iters: 1100, time: 0.010, data: 0.025) , G_GAN: 1.655, G_L1: 7.342, D_real: 0.429, D_fake: 0.586

[Rank 0] (epoch: 2, iters: 1200, time: 0.010, data: 0.023) , G_GAN: 0.744, G_L1: 6.898, D_real: 1.081, D_fake: 0.334

[Rank 0] (epoch: 2, iters: 1300, time: 0.010, data: 0.023) , G_GAN: 1.146, G_L1: 6.552, D_real: 0.562, D_fake: 0.984

[Rank 0] (epoch: 2, iters: 1400, time: 0.010, data: 0.026) , G_GAN: 1.307, G_L1: 6.685, D_real: 0.621, D_fake: 0.915

[Rank 0] (epoch: 2, iters: 1500, time: 0.010, data: 0.024) , G_GAN: 1.290, G_L1: 7.191, D_real: 0.739, D_fake: 0.451

[Rank 0] (epoch: 2, iters: 1600, time: 0.010, data: 0.025) , G_GAN: 0.676, G_L1: 6.848, D_real: 0.673, D_fake: 0.415

[Rank 0] (epoch: 2, iters: 1700, time: 0.010, data: 0.024) , G_GAN: 1.640, G_L1: 6.939, D_real: 0.318, D_fake: 0.714

[Rank 0] (epoch: 2, iters: 1800, time: 0.010, data: 0.026) , G_GAN: 0.840, G_L1: 6.741, D_real: 0.829, D_fake: 0.324

[Rank 0] (epoch: 2, iters: 1900, time: 0.011, data: 0.024) , G_GAN: 1.060, G_L1: 6.605, D_real: 0.444, D_fake: 0.564

[Rank 0] (epoch: 2, iters: 2000, time: 0.010, data: 0.025) , G_GAN: 1.288, G_L1: 7.300, D_real: 0.449, D_fake: 0.629

[Rank 0] (epoch: 2, iters: 2100, time: 0.010, data: 0.027) , G_GAN: 1.020, G_L1: 7.058, D_real: 0.572, D_fake: 0.316

[Rank 0] (epoch: 2, iters: 2200, time: 0.010, data: 0.023) , G_GAN: 1.591, G_L1: 6.743, D_real: 0.388, D_fake: 0.595

[Rank 0] (epoch: 2, iters: 2300, time: 0.010, data: 0.024) , G_GAN: 1.041, G_L1: 6.867, D_real: 0.702, D_fake: 0.340

[Rank 0] (epoch: 2, iters: 2400, time: 0.010, data: 0.024) , G_GAN: 1.312, G_L1: 6.681, D_real: 0.381, D_fake: 0.633

[Rank 0] (epoch: 2, iters: 2500, time: 0.010, data: 0.025) , G_GAN: 1.353, G_L1: 6.959, D_real: 0.405, D_fake: 0.417

[Rank 0] (epoch: 2, iters: 2600, time: 0.010, data: 0.023) , G_GAN: 0.941, G_L1: 6.953, D_real: 0.502, D_fake: 0.373

[Rank 0] (epoch: 2, iters: 2700, time: 0.010, data: 0.025) , G_GAN: 1.895, G_L1: 7.406, D_real: 0.304, D_fake: 0.549

[Rank 0] (epoch: 2, iters: 2800, time: 0.010, data: 0.023) , G_GAN: 0.958, G_L1: 6.403, D_real: 0.911, D_fake: 0.172

[Rank 0] (epoch: 2, iters: 2900, time: 0.010, data: 0.024) , G_GAN: 1.050, G_L1: 6.842, D_real: 0.264, D_fake: 0.562

[Rank 0] (epoch: 2, iters: 3000, time: 0.010, data: 0.024) , G_GAN: 1.555, G_L1: 6.627, D_real: 0.359, D_fake: 0.475

[Rank 0] (epoch: 2, iters: 3100, time: 0.010, data: 0.021) , G_GAN: 1.079, G_L1: 6.412, D_real: 0.486, D_fake: 0.315

[Rank 0] (epoch: 2, iters: 3200, time: 0.010, data: 0.026) , G_GAN: 2.074, G_L1: 7.147, D_real: 0.217, D_fake: 0.748

[Rank 0] (epoch: 2, iters: 3300, time: 0.010, data: 0.025) , G_GAN: 0.883, G_L1: 7.065, D_real: 1.273, D_fake: 0.178

[Rank 0] (epoch: 2, iters: 3400, time: 0.010, data: 0.022) , G_GAN: 0.876, G_L1: 6.642, D_real: 0.494, D_fake: 0.454

[Rank 0] (epoch: 2, iters: 3500, time: 0.010, data: 0.024) , G_GAN: 1.344, G_L1: 6.021, D_real: 0.337, D_fake: 0.572

[Rank 0] (epoch: 2, iters: 3600, time: 0.010, data: 0.024) , G_GAN: 1.256, G_L1: 6.141, D_real: 0.390, D_fake: 0.475

[Rank 0] (epoch: 2, iters: 3700, time: 0.010, data: 0.024) , G_GAN: 1.421, G_L1: 7.270, D_real: 0.391, D_fake: 0.541

[Rank 0] (epoch: 2, iters: 3800, time: 0.010, data: 0.024) , G_GAN: 1.202, G_L1: 6.358, D_real: 0.524, D_fake: 0.347

[Rank 0] (epoch: 2, iters: 3900, time: 0.011, data: 0.024) , G_GAN: 1.634, G_L1: 6.315, D_real: 0.365, D_fake: 0.481

[Rank 0] (epoch: 2, iters: 4000, time: 0.010, data: 0.022) , G_GAN: 0.871, G_L1: 6.539, D_real: 0.604, D_fake: 0.289

[Rank 0] (epoch: 2, iters: 4100, time: 0.010, data: 0.026) , G_GAN: 1.847, G_L1: 6.595, D_real: 0.234, D_fake: 0.652

[Rank 0] (epoch: 2, iters: 4200, time: 0.010, data: 0.023) , G_GAN: 0.987, G_L1: 6.271, D_real: 0.703, D_fake: 0.222

[Rank 0] (epoch: 2, iters: 4300, time: 0.010, data: 0.022) , G_GAN: 1.585, G_L1: 6.663, D_real: 0.249, D_fake: 0.514

[Rank 0] (epoch: 2, iters: 4400, time: 0.010, data: 0.022) , G_GAN: 1.045, G_L1: 6.288, D_real: 0.569, D_fake: 0.271

[Rank 0] (epoch: 2, iters: 4500, time: 0.010, data: 0.022) , G_GAN: 1.476, G_L1: 6.580, D_real: 0.302, D_fake: 0.501

[Rank 0] (epoch: 2, iters: 4600, time: 0.010, data: 0.024) , G_GAN: 1.277, G_L1: 6.604, D_real: 0.504, D_fake: 0.286

[Rank 0] (epoch: 2, iters: 4700, time: 0.010, data: 0.022) , G_GAN: 1.831, G_L1: 6.506, D_real: 0.251, D_fake: 0.482

[Rank 0] (epoch: 2, iters: 4800, time: 0.010, data: 0.027) , G_GAN: 1.077, G_L1: 6.355, D_real: 0.594, D_fake: 0.297

[Rank 0] (epoch: 2, iters: 4900, time: 0.010, data: 0.024) , G_GAN: 1.715, G_L1: 6.607, D_real: 0.236, D_fake: 0.528

[Rank 0] (epoch: 2, iters: 5000, time: 0.010, data: 0.024) , G_GAN: 0.946, G_L1: 6.641, D_real: 0.649, D_fake: 0.191

[Rank 0] (epoch: 2, iters: 5100, time: 0.010, data: 0.021) , G_GAN: 1.853, G_L1: 7.381, D_real: 0.197, D_fake: 0.777

[Rank 0] (epoch: 2, iters: 5200, time: 0.010, data: 0.025) , G_GAN: 1.216, G_L1: 6.612, D_real: 0.921, D_fake: 0.307

[Rank 0] (epoch: 2, iters: 5300, time: 0.010, data: 0.022) , G_GAN: 1.080, G_L1: 6.672, D_real: 0.655, D_fake: 0.804

[Rank 0] (epoch: 2, iters: 5400, time: 0.010, data: 0.024) , G_GAN: 1.574, G_L1: 6.696, D_real: 0.526, D_fake: 1.767

[Rank 0] (epoch: 2, iters: 5500, time: 0.010, data: 0.022) , G_GAN: 1.852, G_L1: 5.983, D_real: 1.009, D_fake: 0.728

[Rank 0] (epoch: 2, iters: 5600, time: 0.010, data: 0.023) , G_GAN: 0.702, G_L1: 6.600, D_real: 0.855, D_fake: 1.126

